geneNcbiID,geneDSI,geneDPI,diseaseName,score,gene_index,disease_index
3630,0.254,0.957,Type 2 Diabetes,1.0,0,0
2099,0.297,0.957,Breast Cancer,1.0,1,1
2099,0.297,0.957,Breast Cancer,1.0,1,1
2064,0.298,0.957,Breast Cancer,1.0,2,1
4137,0.351,0.957,Alzheimer Disease,1.0,3,2
3630,0.254,0.957,Type 1 Diabetes,1.0,0,3
6622,0.317,0.957,Parkinson Disease,1.0,4,4
351,0.38,0.957,Alzheimer Disease,1.0,5,2
348,0.326,0.957,Alzheimer Disease,1.0,6,2
1080,0.381,0.913,Cystic Fibrosis,1.0,7,5
672,0.341,0.957,Breast Cancer,1.0,8,1
672,0.341,0.957,Breast Cancer,1.0,8,1
675,0.355,0.957,Breast Cancer,1.0,9,1
675,0.355,0.957,Breast Cancer,1.0,9,1
3064,0.487,0.913,Huntington Disease,1.0,10,6
3845,0.283,0.913,Colorectal Cancer,1.0,11,7
6647,0.334,1.0,Amyotrophic Lateral Sclerosis (ALS),1.0,12,8
120892,0.473,0.87,Parkinson Disease,1.0,13,4
1756,0.409,0.913,Duchenne Muscular Dystrophy,1.0,14,9
1803,0.374,0.957,Type 2 Diabetes,1.0,15,0
2740,0.437,0.957,Type 2 Diabetes,1.0,16,0
7124,0.226,0.957,Rheumatoid arthritis,1.0,17,10
5290,0.275,0.957,Breast Cancer,1.0,18,1
5071,0.405,0.913,Parkinson Disease,1.0,19,4
23435,0.464,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,20,8
5290,0.275,0.957,Breast Cancer,1.0,18,1
7157,0.256,0.957,Breast Cancer,1.0,21,1
5663,0.438,0.957,Alzheimer Disease,1.0,22,2
7157,0.256,0.957,Breast Cancer,1.0,21,1
207,0.283,0.957,Breast Cancer,1.0,23,1
673,0.29,0.957,Colorectal Cancer,1.0,24,7
9370,0.332,0.957,Type 2 Diabetes,1.0,25,0
1956,0.265,0.957,Colorectal Cancer,1.0,26,7
1499,0.278,0.913,Colorectal Cancer,1.0,27,7
4137,0.351,0.957,Frontotemporal dementia,1.0,3,11
2629,0.432,0.913,Parkinson Disease,1.0,28,4
1401,0.251,1.0,Cardiovascular Diseases,1.0,29,12
203228,0.502,0.826,Amyotrophic Lateral Sclerosis (ALS),1.0,30,8
5468,0.334,0.957,Type 2 Diabetes,1.0,31,0
65018,0.471,0.913,Parkinson Disease,1.0,32,4
23621,0.526,0.87,Alzheimer Disease,1.0,33,2
324,0.364,0.913,Colorectal Cancer,1.0,34,7
5290,0.275,0.957,Colorectal Cancer,1.0,18,7
43,0.42,0.957,Alzheimer Disease,1.0,35,2
4292,0.382,0.913,Colorectal Cancer,1.0,36,7
6934,0.457,0.913,Type 2 Diabetes,1.0,37,0
11315,0.456,0.913,Parkinson Disease,1.0,38,4
2521,0.44,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,39,8
3630,0.254,0.957,Alzheimer Disease,1.0,0,2
590,0.416,0.913,Alzheimer Disease,1.0,40,2
7157,0.256,0.957,Colorectal Cancer,1.0,21,7
1636,0.306,0.957,Type 2 Diabetes,1.0,41,0
2475,0.289,0.957,Breast Cancer,1.0,42,1
595,0.313,0.957,Breast Cancer,1.0,43,1
5728,0.29,0.913,Breast Cancer,1.0,44,1
4137,0.351,0.957,Parkinson Disease,1.0,3,4
3375,0.504,0.87,Type 2 Diabetes,1.0,45,0
999,0.319,0.913,Breast Cancer,1.0,46,1
5728,0.29,0.913,Breast Cancer,1.0,44,1
999,0.319,0.913,Breast Cancer,1.0,46,1
3952,0.312,0.957,Type 2 Diabetes,1.0,47,0
472,0.352,0.913,Breast Cancer,1.0,48,1
7124,0.226,0.957,Type 2 Diabetes,1.0,17,0
3123,0.375,0.957,Rheumatoid arthritis,1.0,49,10
4436,0.39,0.957,Colorectal Cancer,1.0,50,7
6323,0.434,0.957,Epilepsies,1.0,51,13
