geneNcbiID,geneDSI,geneDPI,diseaseName,score,gene_index,disease_index
3630,0.254,0.957,Type 2 Diabetes,1.0,0,0
2099,0.298,0.957,Breast Cancer,1.0,1,1
2064,0.298,0.957,Breast Cancer,1.0,2,1
3630,0.254,0.957,Type 1 Diabetes,1.0,0,2
4137,0.351,0.957,Alzheimer Disease,1.0,3,3
6622,0.318,0.957,Parkinson Disease,1.0,4,4
351,0.381,0.957,Alzheimer Disease,1.0,5,3
348,0.326,0.957,Alzheimer Disease,1.0,6,3
1080,0.381,0.913,Cystic Fibrosis,1.0,7,5
672,0.342,0.957,Breast Cancer,1.0,8,1
675,0.356,0.957,Breast Cancer,1.0,9,1
3064,0.487,0.913,Huntington Disease,1.0,10,6
3845,0.283,0.913,Colorectal Cancer,1.0,11,7
6647,0.334,1.0,Amyotrophic Lateral Sclerosis (ALS),1.0,12,8
120892,0.473,0.87,Parkinson Disease,1.0,13,4
1756,0.409,0.913,Duchenne Muscular Dystrophy,1.0,14,9
1803,0.375,0.957,Type 2 Diabetes,1.0,15,0
7124,0.226,0.957,Rheumatoid arthritis,1.0,16,10
2740,0.439,0.957,Type 2 Diabetes,1.0,17,0
5290,0.276,0.957,Breast Cancer,1.0,18,1
5071,0.405,0.913,Parkinson Disease,1.0,19,4
23435,0.465,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,20,8
7157,0.256,0.957,Breast Cancer,1.0,21,1
5663,0.439,0.957,Alzheimer Disease,1.0,22,3
207,0.283,0.957,Breast Cancer,1.0,23,1
673,0.29,0.957,Colorectal Cancer,1.0,24,7
9370,0.332,0.957,Type 2 Diabetes,1.0,25,0
1956,0.266,0.957,Colorectal Cancer,1.0,26,7
1499,0.278,0.913,Colorectal Cancer,1.0,27,7
4137,0.351,0.957,Frontotemporal dementia,1.0,3,11
2629,0.432,0.913,Parkinson Disease,1.0,28,4
203228,0.502,0.826,Amyotrophic Lateral Sclerosis (ALS),1.0,29,8
5468,0.334,0.957,Type 2 Diabetes,1.0,30,0
65018,0.472,0.913,Parkinson Disease,1.0,31,4
23621,0.526,0.87,Alzheimer Disease,1.0,32,3
324,0.364,0.913,Colorectal Cancer,1.0,33,7
43,0.419,0.957,Alzheimer Disease,1.0,34,3
5290,0.276,0.957,Colorectal Cancer,1.0,18,7
4292,0.383,0.913,Colorectal Cancer,1.0,35,7
6934,0.457,0.913,Type 2 Diabetes,1.0,36,0
11315,0.456,0.913,Parkinson Disease,1.0,37,4
2521,0.441,0.957,Amyotrophic Lateral Sclerosis (ALS),1.0,38,8
590,0.416,0.913,Alzheimer Disease,1.0,39,3
1636,0.306,0.957,Type 2 Diabetes,1.0,40,0
7157,0.256,0.957,Colorectal Cancer,1.0,21,7
2475,0.29,0.957,Breast Cancer,1.0,41,1
5728,0.29,0.913,Breast Cancer,1.0,42,1
4137,0.351,0.957,Parkinson Disease,1.0,3,4
3375,0.504,0.87,Type 2 Diabetes,1.0,43,0
999,0.319,0.913,Breast Cancer,1.0,44,1
3952,0.312,0.957,Type 2 Diabetes,1.0,45,0
472,0.353,0.913,Breast Cancer,1.0,46,1
7124,0.226,0.957,Type 2 Diabetes,1.0,16,0
3123,0.376,0.957,Rheumatoid arthritis,1.0,47,10
4436,0.39,0.957,Colorectal Cancer,1.0,48,7
6323,0.434,0.957,Epilepsies,1.0,49,12
2695,0.478,0.87,Type 2 Diabetes,1.0,50,0
2896,0.402,0.913,Frontotemporal dementia,1.0,51,11
207,0.283,0.957,Colorectal Cancer,1.0,23,7
627,0.324,0.957,Alzheimer Disease,1.0,52,3
54209,0.458,0.957,Alzheimer Disease,1.0,53,3
1813,0.401,0.957,Schizophrenias,1.0,54,13
2932,0.378,0.957,Alzheimer Disease,1.0,55,3
1312,0.381,0.957,Schizophrenias,1.0,56,13
11200,0.421,0.913,Breast Cancer,1.0,57,1
27185,0.54,0.87,Schizophrenias,1.0,58,13
3569,0.233,0.957,Type 2 Diabetes,1.0,59,0
3643,0.395,0.913,Type 2 Diabetes,1.0,60,0
79728,0.455,0.87,Breast Cancer,1.0,61,1
2065,0.39,0.913,Breast Cancer,1.0,62,1
2645,0.49,0.87,Type 2 Diabetes,1.0,63,0
2904,0.423,0.957,Schizophrenias,1.0,64,13
5664,0.474,0.87,Alzheimer Disease,1.0,65,3
